IssueDate,Violation,FineAmount,NumberViolations,TotalFineAmount
2024-11-06,MTA CAMERA VIOLATION - DOUBLE PARKING,50,981,49050
2024-11-06,MTA CAMERA VIOLATION - DOUBLE PARKING,100,46,4600
2024-11-06,MTA CAMERA VIOLATION - DOUBLE PARKING,150,11,1650
2024-11-06,MTA CAMERA VIOLATION - DOUBLE PARKING,200,2,400
2024-11-06,MTA CAMERA VIOLATION - DOUBLE PARKING,250,12,3000
2024-11-07,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1132,56600
2024-11-07,MTA CAMERA VIOLATION - DOUBLE PARKING,100,46,4600
2024-11-07,MTA CAMERA VIOLATION - DOUBLE PARKING,150,21,3150
2024-11-07,MTA CAMERA VIOLATION - DOUBLE PARKING,200,11,2200
2024-11-07,MTA CAMERA VIOLATION - DOUBLE PARKING,250,7,1750
2024-11-08,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1075,53750
2024-11-08,MTA CAMERA VIOLATION - DOUBLE PARKING,100,46,4600
2024-11-08,MTA CAMERA VIOLATION - DOUBLE PARKING,150,15,2250
2024-11-08,MTA CAMERA VIOLATION - DOUBLE PARKING,200,4,800
2024-11-08,MTA CAMERA VIOLATION - DOUBLE PARKING,250,8,2000
2024-11-09,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1277,63850
2024-11-09,MTA CAMERA VIOLATION - DOUBLE PARKING,100,55,5500
2024-11-09,MTA CAMERA VIOLATION - DOUBLE PARKING,150,8,1200
2024-11-09,MTA CAMERA VIOLATION - DOUBLE PARKING,200,5,1000
2024-11-09,MTA CAMERA VIOLATION - DOUBLE PARKING,250,14,3500
2024-11-10,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1004,50200
2024-11-10,MTA CAMERA VIOLATION - DOUBLE PARKING,100,37,3700
2024-11-10,MTA CAMERA VIOLATION - DOUBLE PARKING,150,11,1650
2024-11-10,MTA CAMERA VIOLATION - DOUBLE PARKING,200,6,1200
2024-11-10,MTA CAMERA VIOLATION - DOUBLE PARKING,250,4,1000
2024-11-11,MTA CAMERA VIOLATION - DOUBLE PARKING,50,903,45150
2024-11-11,MTA CAMERA VIOLATION - DOUBLE PARKING,100,43,4300
2024-11-11,MTA CAMERA VIOLATION - DOUBLE PARKING,150,15,2250
2024-11-11,MTA CAMERA VIOLATION - DOUBLE PARKING,200,6,1200
2024-11-11,MTA CAMERA VIOLATION - DOUBLE PARKING,250,13,3250
2024-11-12,MTA CAMERA VIOLATION - DOUBLE PARKING,50,848,42400
2024-11-12,MTA CAMERA VIOLATION - DOUBLE PARKING,100,61,6100
2024-11-12,MTA CAMERA VIOLATION - DOUBLE PARKING,150,16,2400
2024-11-12,MTA CAMERA VIOLATION - DOUBLE PARKING,200,5,1000
2024-11-12,MTA CAMERA VIOLATION - DOUBLE PARKING,250,15,3750
2024-11-13,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1020,51000
2024-11-13,MTA CAMERA VIOLATION - DOUBLE PARKING,100,50,5000
2024-11-13,MTA CAMERA VIOLATION - DOUBLE PARKING,150,24,3600
2024-11-13,MTA CAMERA VIOLATION - DOUBLE PARKING,200,12,2400
2024-11-13,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-11-14,MTA CAMERA VIOLATION - DOUBLE PARKING,50,993,49650
2024-11-14,MTA CAMERA VIOLATION - DOUBLE PARKING,100,53,5300
2024-11-14,MTA CAMERA VIOLATION - DOUBLE PARKING,150,18,2700
2024-11-14,MTA CAMERA VIOLATION - DOUBLE PARKING,200,10,2000
2024-11-14,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-11-15,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2097,104850
2024-11-15,MTA CAMERA VIOLATION - DOUBLE PARKING,100,79,7900
2024-11-15,MTA CAMERA VIOLATION - DOUBLE PARKING,150,20,3000
2024-11-15,MTA CAMERA VIOLATION - DOUBLE PARKING,200,7,1400
2024-11-15,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-11-16,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2080,104000
2024-11-16,MTA CAMERA VIOLATION - DOUBLE PARKING,100,89,8900
2024-11-16,MTA CAMERA VIOLATION - DOUBLE PARKING,150,16,2400
2024-11-16,MTA CAMERA VIOLATION - DOUBLE PARKING,200,5,1000
2024-11-16,MTA CAMERA VIOLATION - DOUBLE PARKING,250,11,2750
2024-11-17,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1631,81550
2024-11-17,MTA CAMERA VIOLATION - DOUBLE PARKING,100,66,6600
2024-11-17,MTA CAMERA VIOLATION - DOUBLE PARKING,150,12,1800
2024-11-17,MTA CAMERA VIOLATION - DOUBLE PARKING,200,6,1200
2024-11-17,MTA CAMERA VIOLATION - DOUBLE PARKING,250,4,1000
2024-11-18,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1591,79550
2024-11-18,MTA CAMERA VIOLATION - DOUBLE PARKING,100,80,8000
2024-11-18,MTA CAMERA VIOLATION - DOUBLE PARKING,150,27,4050
2024-11-18,MTA CAMERA VIOLATION - DOUBLE PARKING,200,8,1600
2024-11-18,MTA CAMERA VIOLATION - DOUBLE PARKING,250,13,3250
2024-11-19,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1750,87500
2024-11-19,MTA CAMERA VIOLATION - DOUBLE PARKING,100,84,8400
2024-11-19,MTA CAMERA VIOLATION - DOUBLE PARKING,150,21,3150
2024-11-19,MTA CAMERA VIOLATION - DOUBLE PARKING,200,9,1800
2024-11-19,MTA CAMERA VIOLATION - DOUBLE PARKING,250,16,4000
2024-11-20,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1774,88700
2024-11-20,MTA CAMERA VIOLATION - DOUBLE PARKING,100,91,9100
2024-11-20,MTA CAMERA VIOLATION - DOUBLE PARKING,150,18,2700
2024-11-20,MTA CAMERA VIOLATION - DOUBLE PARKING,200,12,2400
2024-11-20,MTA CAMERA VIOLATION - DOUBLE PARKING,250,21,5250
2024-11-21,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1642,82100
2024-11-21,MTA CAMERA VIOLATION - DOUBLE PARKING,100,70,7000
2024-11-21,MTA CAMERA VIOLATION - DOUBLE PARKING,150,25,3750
2024-11-21,MTA CAMERA VIOLATION - DOUBLE PARKING,200,11,2200
2024-11-21,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-11-22,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1731,86550
2024-11-22,MTA CAMERA VIOLATION - DOUBLE PARKING,100,61,6100
2024-11-22,MTA CAMERA VIOLATION - DOUBLE PARKING,150,19,2850
2024-11-22,MTA CAMERA VIOLATION - DOUBLE PARKING,200,10,2000
2024-11-22,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-11-23,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2192,109600
2024-11-23,MTA CAMERA VIOLATION - DOUBLE PARKING,100,107,10700
2024-11-23,MTA CAMERA VIOLATION - DOUBLE PARKING,150,27,4050
2024-11-23,MTA CAMERA VIOLATION - DOUBLE PARKING,200,6,1200
2024-11-23,MTA CAMERA VIOLATION - DOUBLE PARKING,250,14,3500
2024-11-24,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1654,82700
2024-11-24,MTA CAMERA VIOLATION - DOUBLE PARKING,100,99,9900
2024-11-24,MTA CAMERA VIOLATION - DOUBLE PARKING,150,18,2700
2024-11-24,MTA CAMERA VIOLATION - DOUBLE PARKING,200,4,800
2024-11-24,MTA CAMERA VIOLATION - DOUBLE PARKING,250,4,1000
2024-11-25,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1637,81850
2024-11-25,MTA CAMERA VIOLATION - DOUBLE PARKING,100,122,12200
2024-11-25,MTA CAMERA VIOLATION - DOUBLE PARKING,150,27,4050
2024-11-25,MTA CAMERA VIOLATION - DOUBLE PARKING,200,21,4200
2024-11-25,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-11-26,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1961,98050
2024-11-26,MTA CAMERA VIOLATION - DOUBLE PARKING,100,121,12100
2024-11-26,MTA CAMERA VIOLATION - DOUBLE PARKING,150,33,4950
2024-11-26,MTA CAMERA VIOLATION - DOUBLE PARKING,200,13,2600
2024-11-26,MTA CAMERA VIOLATION - DOUBLE PARKING,250,25,6250
2024-11-27,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1981,99050
2024-11-27,MTA CAMERA VIOLATION - DOUBLE PARKING,100,148,14800
2024-11-27,MTA CAMERA VIOLATION - DOUBLE PARKING,150,38,5700
2024-11-27,MTA CAMERA VIOLATION - DOUBLE PARKING,200,22,4400
2024-11-27,MTA CAMERA VIOLATION - DOUBLE PARKING,250,25,6250
2024-11-28,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1407,70350
2024-11-28,MTA CAMERA VIOLATION - DOUBLE PARKING,100,86,8600
2024-11-28,MTA CAMERA VIOLATION - DOUBLE PARKING,150,24,3600
2024-11-28,MTA CAMERA VIOLATION - DOUBLE PARKING,200,4,800
2024-11-28,MTA CAMERA VIOLATION - DOUBLE PARKING,250,14,3500
2024-11-29,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1614,80700
2024-11-29,MTA CAMERA VIOLATION - DOUBLE PARKING,100,95,9500
2024-11-29,MTA CAMERA VIOLATION - DOUBLE PARKING,150,35,5250
2024-11-29,MTA CAMERA VIOLATION - DOUBLE PARKING,200,11,2200
2024-11-29,MTA CAMERA VIOLATION - DOUBLE PARKING,250,19,4750
2024-11-30,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1861,93050
2024-11-30,MTA CAMERA VIOLATION - DOUBLE PARKING,100,131,13100
2024-11-30,MTA CAMERA VIOLATION - DOUBLE PARKING,150,40,6000
2024-11-30,MTA CAMERA VIOLATION - DOUBLE PARKING,200,14,2800
2024-11-30,MTA CAMERA VIOLATION - DOUBLE PARKING,250,27,6750
2024-12-01,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1787,89350
2024-12-01,MTA CAMERA VIOLATION - DOUBLE PARKING,100,113,11300
2024-12-01,MTA CAMERA VIOLATION - DOUBLE PARKING,150,30,4500
2024-12-01,MTA CAMERA VIOLATION - DOUBLE PARKING,200,13,2600
2024-12-01,MTA CAMERA VIOLATION - DOUBLE PARKING,250,18,4500
2024-12-02,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2060,103000
2024-12-02,MTA CAMERA VIOLATION - DOUBLE PARKING,100,180,18000
2024-12-02,MTA CAMERA VIOLATION - DOUBLE PARKING,150,42,6300
2024-12-02,MTA CAMERA VIOLATION - DOUBLE PARKING,200,25,5000
2024-12-02,MTA CAMERA VIOLATION - DOUBLE PARKING,250,37,9250
2024-12-03,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2333,116650
2024-12-03,MTA CAMERA VIOLATION - DOUBLE PARKING,100,192,19200
2024-12-03,MTA CAMERA VIOLATION - DOUBLE PARKING,150,64,9600
2024-12-03,MTA CAMERA VIOLATION - DOUBLE PARKING,200,23,4600
2024-12-03,MTA CAMERA VIOLATION - DOUBLE PARKING,250,36,9000
2024-12-04,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2228,111400
2024-12-04,MTA CAMERA VIOLATION - DOUBLE PARKING,100,227,22700
2024-12-04,MTA CAMERA VIOLATION - DOUBLE PARKING,150,42,6300
2024-12-04,MTA CAMERA VIOLATION - DOUBLE PARKING,200,31,6200
2024-12-04,MTA CAMERA VIOLATION - DOUBLE PARKING,250,41,10250
2024-12-05,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2037,101850
2024-12-05,MTA CAMERA VIOLATION - DOUBLE PARKING,100,183,18300
2024-12-05,MTA CAMERA VIOLATION - DOUBLE PARKING,150,52,7800
2024-12-05,MTA CAMERA VIOLATION - DOUBLE PARKING,200,28,5600
2024-12-05,MTA CAMERA VIOLATION - DOUBLE PARKING,250,45,11250
2024-12-06,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1482,74100
2024-12-06,MTA CAMERA VIOLATION - DOUBLE PARKING,100,125,12500
2024-12-06,MTA CAMERA VIOLATION - DOUBLE PARKING,150,39,5850
2024-12-06,MTA CAMERA VIOLATION - DOUBLE PARKING,200,15,3000
2024-12-06,MTA CAMERA VIOLATION - DOUBLE PARKING,250,23,5750
2024-12-07,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1664,83200
2024-12-07,MTA CAMERA VIOLATION - DOUBLE PARKING,100,136,13600
2024-12-07,MTA CAMERA VIOLATION - DOUBLE PARKING,150,27,4050
2024-12-07,MTA CAMERA VIOLATION - DOUBLE PARKING,200,11,2200
2024-12-07,MTA CAMERA VIOLATION - DOUBLE PARKING,250,25,6250
2024-12-08,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1356,67800
2024-12-08,MTA CAMERA VIOLATION - DOUBLE PARKING,100,99,9900
2024-12-08,MTA CAMERA VIOLATION - DOUBLE PARKING,150,29,4350
2024-12-08,MTA CAMERA VIOLATION - DOUBLE PARKING,200,7,1400
2024-12-08,MTA CAMERA VIOLATION - DOUBLE PARKING,250,14,3500
2024-12-09,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1708,85400
2024-12-09,MTA CAMERA VIOLATION - DOUBLE PARKING,100,143,14300
2024-12-09,MTA CAMERA VIOLATION - DOUBLE PARKING,150,49,7350
2024-12-09,MTA CAMERA VIOLATION - DOUBLE PARKING,200,22,4400
2024-12-09,MTA CAMERA VIOLATION - DOUBLE PARKING,250,27,6750
2024-12-10,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1405,70250
2024-12-10,MTA CAMERA VIOLATION - DOUBLE PARKING,100,128,12800
2024-12-10,MTA CAMERA VIOLATION - DOUBLE PARKING,150,38,5700
2024-12-10,MTA CAMERA VIOLATION - DOUBLE PARKING,200,15,3000
2024-12-10,MTA CAMERA VIOLATION - DOUBLE PARKING,250,21,5250
2024-12-11,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1444,72200
2024-12-11,MTA CAMERA VIOLATION - DOUBLE PARKING,100,132,13200
2024-12-11,MTA CAMERA VIOLATION - DOUBLE PARKING,150,34,5100
2024-12-11,MTA CAMERA VIOLATION - DOUBLE PARKING,200,13,2600
2024-12-11,MTA CAMERA VIOLATION - DOUBLE PARKING,250,33,8250
2024-12-12,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1841,92050
2024-12-12,MTA CAMERA VIOLATION - DOUBLE PARKING,100,151,15100
2024-12-12,MTA CAMERA VIOLATION - DOUBLE PARKING,150,54,8100
2024-12-12,MTA CAMERA VIOLATION - DOUBLE PARKING,200,32,6400
2024-12-12,MTA CAMERA VIOLATION - DOUBLE PARKING,250,56,14000
2024-12-13,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1864,93200
2024-12-13,MTA CAMERA VIOLATION - DOUBLE PARKING,100,176,17600
2024-12-13,MTA CAMERA VIOLATION - DOUBLE PARKING,150,49,7350
2024-12-13,MTA CAMERA VIOLATION - DOUBLE PARKING,200,27,5400
2024-12-13,MTA CAMERA VIOLATION - DOUBLE PARKING,250,54,13500
2024-12-14,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2029,101450
2024-12-14,MTA CAMERA VIOLATION - DOUBLE PARKING,100,199,19900
2024-12-14,MTA CAMERA VIOLATION - DOUBLE PARKING,150,48,7200
2024-12-14,MTA CAMERA VIOLATION - DOUBLE PARKING,200,14,2800
2024-12-14,MTA CAMERA VIOLATION - DOUBLE PARKING,250,28,7000
2024-12-15,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2180,109000
2024-12-15,MTA CAMERA VIOLATION - DOUBLE PARKING,100,168,16800
2024-12-15,MTA CAMERA VIOLATION - DOUBLE PARKING,150,58,8700
2024-12-15,MTA CAMERA VIOLATION - DOUBLE PARKING,200,14,2800
2024-12-15,MTA CAMERA VIOLATION - DOUBLE PARKING,250,26,6500
2024-12-16,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1677,83850
2024-12-16,MTA CAMERA VIOLATION - DOUBLE PARKING,100,182,18200
2024-12-16,MTA CAMERA VIOLATION - DOUBLE PARKING,150,52,7800
2024-12-16,MTA CAMERA VIOLATION - DOUBLE PARKING,200,19,3800
2024-12-16,MTA CAMERA VIOLATION - DOUBLE PARKING,250,53,13250
2024-12-17,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1889,94450
2024-12-17,MTA CAMERA VIOLATION - DOUBLE PARKING,100,234,23400
2024-12-17,MTA CAMERA VIOLATION - DOUBLE PARKING,150,64,9600
2024-12-17,MTA CAMERA VIOLATION - DOUBLE PARKING,200,25,5000
2024-12-17,MTA CAMERA VIOLATION - DOUBLE PARKING,250,46,11500
2024-12-18,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1840,92000
2024-12-18,MTA CAMERA VIOLATION - DOUBLE PARKING,100,209,20900
2024-12-18,MTA CAMERA VIOLATION - DOUBLE PARKING,150,44,6600
2024-12-18,MTA CAMERA VIOLATION - DOUBLE PARKING,200,21,4200
2024-12-18,MTA CAMERA VIOLATION - DOUBLE PARKING,250,44,11000
2024-12-19,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2113,105650
2024-12-19,MTA CAMERA VIOLATION - DOUBLE PARKING,100,211,21100
2024-12-19,MTA CAMERA VIOLATION - DOUBLE PARKING,150,55,8250
2024-12-19,MTA CAMERA VIOLATION - DOUBLE PARKING,200,28,5600
2024-12-19,MTA CAMERA VIOLATION - DOUBLE PARKING,250,44,11000
2024-12-20,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2217,110850
2024-12-20,MTA CAMERA VIOLATION - DOUBLE PARKING,100,250,25000
2024-12-20,MTA CAMERA VIOLATION - DOUBLE PARKING,150,66,9900
2024-12-20,MTA CAMERA VIOLATION - DOUBLE PARKING,200,18,3600
2024-12-20,MTA CAMERA VIOLATION - DOUBLE PARKING,250,63,15750
2024-12-21,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2062,103100
2024-12-21,MTA CAMERA VIOLATION - DOUBLE PARKING,100,168,16800
2024-12-21,MTA CAMERA VIOLATION - DOUBLE PARKING,150,48,7200
2024-12-21,MTA CAMERA VIOLATION - DOUBLE PARKING,200,15,3000
2024-12-21,MTA CAMERA VIOLATION - DOUBLE PARKING,250,29,7250
2024-12-22,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1590,79500
2024-12-22,MTA CAMERA VIOLATION - DOUBLE PARKING,100,143,14300
2024-12-22,MTA CAMERA VIOLATION - DOUBLE PARKING,150,34,5100
2024-12-22,MTA CAMERA VIOLATION - DOUBLE PARKING,200,13,2600
2024-12-22,MTA CAMERA VIOLATION - DOUBLE PARKING,250,12,3000
2024-12-23,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1941,97050
2024-12-23,MTA CAMERA VIOLATION - DOUBLE PARKING,100,195,19500
2024-12-23,MTA CAMERA VIOLATION - DOUBLE PARKING,150,53,7950
2024-12-23,MTA CAMERA VIOLATION - DOUBLE PARKING,200,15,3000
2024-12-23,MTA CAMERA VIOLATION - DOUBLE PARKING,250,40,10000
2024-12-24,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1971,98550
2024-12-24,MTA CAMERA VIOLATION - DOUBLE PARKING,100,215,21500
2024-12-24,MTA CAMERA VIOLATION - DOUBLE PARKING,150,56,8400
2024-12-24,MTA CAMERA VIOLATION - DOUBLE PARKING,200,31,6200
2024-12-24,MTA CAMERA VIOLATION - DOUBLE PARKING,250,45,11250
2024-12-25,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1152,57600
2024-12-25,MTA CAMERA VIOLATION - DOUBLE PARKING,100,74,7400
2024-12-25,MTA CAMERA VIOLATION - DOUBLE PARKING,150,38,5700
2024-12-25,MTA CAMERA VIOLATION - DOUBLE PARKING,200,9,1800
2024-12-25,MTA CAMERA VIOLATION - DOUBLE PARKING,250,17,4250
2024-12-26,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1355,67750
2024-12-26,MTA CAMERA VIOLATION - DOUBLE PARKING,100,162,16200
2024-12-26,MTA CAMERA VIOLATION - DOUBLE PARKING,150,32,4800
2024-12-26,MTA CAMERA VIOLATION - DOUBLE PARKING,200,28,5600
2024-12-26,MTA CAMERA VIOLATION - DOUBLE PARKING,250,34,8500
2024-12-27,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1449,72450
2024-12-27,MTA CAMERA VIOLATION - DOUBLE PARKING,100,174,17400
2024-12-27,MTA CAMERA VIOLATION - DOUBLE PARKING,150,43,6450
2024-12-27,MTA CAMERA VIOLATION - DOUBLE PARKING,200,27,5400
2024-12-27,MTA CAMERA VIOLATION - DOUBLE PARKING,250,39,9750
2024-12-28,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1603,80150
2024-12-28,MTA CAMERA VIOLATION - DOUBLE PARKING,100,198,19800
2024-12-28,MTA CAMERA VIOLATION - DOUBLE PARKING,150,36,5400
2024-12-28,MTA CAMERA VIOLATION - DOUBLE PARKING,200,22,4400
2024-12-28,MTA CAMERA VIOLATION - DOUBLE PARKING,250,26,6500
2024-12-29,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1608,80400
2024-12-29,MTA CAMERA VIOLATION - DOUBLE PARKING,100,155,15500
2024-12-29,MTA CAMERA VIOLATION - DOUBLE PARKING,150,49,7350
2024-12-29,MTA CAMERA VIOLATION - DOUBLE PARKING,200,21,4200
2024-12-29,MTA CAMERA VIOLATION - DOUBLE PARKING,250,26,6500
2024-12-30,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1861,93050
2024-12-30,MTA CAMERA VIOLATION - DOUBLE PARKING,100,211,21100
2024-12-30,MTA CAMERA VIOLATION - DOUBLE PARKING,150,58,8700
2024-12-30,MTA CAMERA VIOLATION - DOUBLE PARKING,200,34,6800
2024-12-30,MTA CAMERA VIOLATION - DOUBLE PARKING,250,54,13500
2024-12-31,MTA CAMERA VIOLATION - DOUBLE PARKING,50,2568,128400
2024-12-31,MTA CAMERA VIOLATION - DOUBLE PARKING,100,303,30300
2024-12-31,MTA CAMERA VIOLATION - DOUBLE PARKING,150,87,13050
2024-12-31,MTA CAMERA VIOLATION - DOUBLE PARKING,200,32,6400
2024-12-31,MTA CAMERA VIOLATION - DOUBLE PARKING,250,55,13750
2025-01-01,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1068,53400
2025-01-01,MTA CAMERA VIOLATION - DOUBLE PARKING,100,111,11100
2025-01-01,MTA CAMERA VIOLATION - DOUBLE PARKING,150,33,4950
2025-01-01,MTA CAMERA VIOLATION - DOUBLE PARKING,200,21,4200
2025-01-01,MTA CAMERA VIOLATION - DOUBLE PARKING,250,14,3500
2025-01-02,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1905,95250
2025-01-02,MTA CAMERA VIOLATION - DOUBLE PARKING,100,244,24400
2025-01-02,MTA CAMERA VIOLATION - DOUBLE PARKING,150,73,10950
2025-01-02,MTA CAMERA VIOLATION - DOUBLE PARKING,200,27,5400
2025-01-02,MTA CAMERA VIOLATION - DOUBLE PARKING,250,66,16500
2025-01-03,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1745,87250
2025-01-03,MTA CAMERA VIOLATION - DOUBLE PARKING,100,238,23800
2025-01-03,MTA CAMERA VIOLATION - DOUBLE PARKING,150,65,9750
2025-01-03,MTA CAMERA VIOLATION - DOUBLE PARKING,200,26,5200
2025-01-03,MTA CAMERA VIOLATION - DOUBLE PARKING,250,68,17000
2025-01-04,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1682,84100
2025-01-04,MTA CAMERA VIOLATION - DOUBLE PARKING,100,200,20000
2025-01-04,MTA CAMERA VIOLATION - DOUBLE PARKING,150,64,9600
2025-01-04,MTA CAMERA VIOLATION - DOUBLE PARKING,200,20,4000
2025-01-04,MTA CAMERA VIOLATION - DOUBLE PARKING,250,33,8250
2025-01-05,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1432,71600
2025-01-05,MTA CAMERA VIOLATION - DOUBLE PARKING,100,191,19100
2025-01-05,MTA CAMERA VIOLATION - DOUBLE PARKING,150,63,9450
2025-01-05,MTA CAMERA VIOLATION - DOUBLE PARKING,200,18,3600
2025-01-05,MTA CAMERA VIOLATION - DOUBLE PARKING,250,29,7250
2025-01-06,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1946,97300
2025-01-06,MTA CAMERA VIOLATION - DOUBLE PARKING,100,257,25700
2025-01-06,MTA CAMERA VIOLATION - DOUBLE PARKING,150,121,18150
2025-01-06,MTA CAMERA VIOLATION - DOUBLE PARKING,200,30,6000
2025-01-06,MTA CAMERA VIOLATION - DOUBLE PARKING,250,70,17500
2025-01-07,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1699,84950
2025-01-07,MTA CAMERA VIOLATION - DOUBLE PARKING,100,278,27800
2025-01-07,MTA CAMERA VIOLATION - DOUBLE PARKING,150,96,14400
2025-01-07,MTA CAMERA VIOLATION - DOUBLE PARKING,200,29,5800
2025-01-07,MTA CAMERA VIOLATION - DOUBLE PARKING,250,70,17500
2025-01-08,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1515,75750
2025-01-08,MTA CAMERA VIOLATION - DOUBLE PARKING,100,226,22600
2025-01-08,MTA CAMERA VIOLATION - DOUBLE PARKING,150,73,10950
2025-01-08,MTA CAMERA VIOLATION - DOUBLE PARKING,200,23,4600
2025-01-08,MTA CAMERA VIOLATION - DOUBLE PARKING,250,71,17750
2025-01-09,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1808,90400
2025-01-09,MTA CAMERA VIOLATION - DOUBLE PARKING,100,245,24500
2025-01-09,MTA CAMERA VIOLATION - DOUBLE PARKING,150,95,14250
2025-01-09,MTA CAMERA VIOLATION - DOUBLE PARKING,200,32,6400
2025-01-09,MTA CAMERA VIOLATION - DOUBLE PARKING,250,73,18250
2025-01-10,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1770,88500
2025-01-10,MTA CAMERA VIOLATION - DOUBLE PARKING,100,246,24600
2025-01-10,MTA CAMERA VIOLATION - DOUBLE PARKING,150,86,12900
2025-01-10,MTA CAMERA VIOLATION - DOUBLE PARKING,200,26,5200
2025-01-10,MTA CAMERA VIOLATION - DOUBLE PARKING,250,83,20750
2025-01-11,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1806,90300
2025-01-11,MTA CAMERA VIOLATION - DOUBLE PARKING,100,227,22700
2025-01-11,MTA CAMERA VIOLATION - DOUBLE PARKING,150,100,15000
2025-01-11,MTA CAMERA VIOLATION - DOUBLE PARKING,200,31,6200
2025-01-11,MTA CAMERA VIOLATION - DOUBLE PARKING,250,36,9000
2025-01-12,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1337,66850
2025-01-12,MTA CAMERA VIOLATION - DOUBLE PARKING,100,207,20700
2025-01-12,MTA CAMERA VIOLATION - DOUBLE PARKING,150,54,8100
2025-01-12,MTA CAMERA VIOLATION - DOUBLE PARKING,200,32,6400
2025-01-12,MTA CAMERA VIOLATION - DOUBLE PARKING,250,35,8750
2025-01-13,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1857,92850
2025-01-13,MTA CAMERA VIOLATION - DOUBLE PARKING,100,263,26300
2025-01-13,MTA CAMERA VIOLATION - DOUBLE PARKING,150,89,13350
2025-01-13,MTA CAMERA VIOLATION - DOUBLE PARKING,200,43,8600
2025-01-13,MTA CAMERA VIOLATION - DOUBLE PARKING,250,88,22000
2025-01-14,MTA CAMERA VIOLATION - DOUBLE PARKING,50,1594,79700
2025-01-14,MTA CAMERA VIOLATION - DOUBLE PARKING,100,281,28100
